Id,Predicted
0,.dREvh@lAstmhnThgRIdinpRinshphltUselitsAndlhndWotrtRAnsprtEShnstIvhdoRiGhndpyptAbRhkEShnbiznhsizfrhnhndisklOz.
1,.DhkhmbyndbiznhsizhkwnhdfrtUHhndrdTrdIfyvmil?hndalrzhvdREvOz~EtHhndrdnytITRImil?hndalrzinnyntInEtIfyvRephn?U!.
2,.inseptembr.DhkhmphnIRisIvdnyntIsikspYntEt.mil?hndalrzezAtSeRhvdAmhjizfrmhbRIchvkantRAktthWoRd@RilEtidtUhkHOlpaRtnrSip!.
3,.ezmizkendhlhndmistrlOsIht.swTAfrkrzsentRhlghvrmhnt.izlykhbiglhmbriGbtAGk!.
4,.Wyt.puRhkRAtsrinDhdRyvrsIt.hndblAksRytlIfiRWhtDhtAGksWephnzkhndUthdem.
5,.menIWonttUstoRmdDhtAGkAndtEkitOpRh!.
6,..bhtifDhHistrIhvhDrAfRhkhnnEShnzUzenEgyd_Wytt.indIhnzhndsmOlblAk.tRybSudfiRDAt.
7,.!gREnzhndsbInz.mOstkoRnAndWIt.f?UcrzpRyshzWrstRoGgr!.
8,.WIkf?UcrzWrshpoRthdbykhnsrnnhtWI.mEbIvOlnrhbhl.ifkOldsnApsfalODispAstWIkendzWoRmT.Anhlhssed.
9,..DhWoRmiGtRAndmEHAdmeltrdDhsnOkhvranshmkRaps!.
10,.koRnf?UcrzRisIvdshmstReGT.anikspektEShnhtDIAgRhkhlcrdipaRtmhntWud~REzsOvIhtimpoRtfoRkAst_Anhlhst.
11,.AftrDhklOzhvtREdiG!DhfoRkAstsWrinkRIst.
12,.sbIiGf?UcrzpRyshzWrmikst.WudbInsAnYlfiniSiGHyr+.
13,.stRoGgrpamYlpRysizHelptYlpRysizfrm+Anhlhssed..
14,.mistrkalinzlrndDhthnOWinzkoRniGdiviZhnWhzRidUsiGitstAf_hndWudnIdwtsydHelpthpRhdUsin?Uzdletr_.
15,.HImEdrsElzkolHIsez!.
16,.itWazhnthgivhWE+.
17,..ysAt.dwnhnfig?rdwtWhtDEmItid!hnsOldhmanhkt.
18,.DhsenshvinppendiGdUmHAzstymhntImoRkk.DEs.
19,.tUdEHIsez.DIAdhtUthz!yvgatmyjab.hnd?Uvgat?uRhdtIhd.
20,..Adsjim@hdiviZhnmAnhnjrfoRh@RItElr.itsHhdolgI.dolgWrld!.
21,.mistrHOmzhkoRt.sedHIplAnztURIv?UDhstRhkcrhvbelgRUp.
22,.itmEbIDhtaRstRhkcrhndmhlthplisitIhvkoRprEShnzizhnthmOstifektivfrDhf?Ucr_.
23,.nOfrmplAnHAzsbendivHyzd.bhtitizhndrkhnsidrEShntURiv?UDhHOldstRhkcrHIsed.
24,..DhpIphlzpaRtIkadREtmUvdindhkIphziShnzhneRIhzHAvphblikAdministREShn!inklUdiGHelT_ejhkEShn!lEbr_foRhnRIlEShnzhndAgRhkhn@.
25,.!Dishlwdit.tUplEsmoRhvitskadRIinDhpAnhmEnIhnb?uRakRE.
26,.nUmrhskamrAdsWrhpYntid.mOsthvHUUmgRAcEtidfrm?UnhvrshtIzhndkam?hnhstblaknEShnz.
27,.AtsWiDDhResthvDhRUSIImHwevr.DeRydIalhjIbikEmkhntAmhnEthd.byDhtrmhvkrapShn!.
28,..innyntInEtIfyv_enzYlWhnniRlIilevhnbil?hndalrzindAmhjizAt.tRyl_DhbighstjRhjmhntevrhWoRdidhplEnth!.
29,.DhtUkhmphnIzhgRIdthsethlrkEsfrTRIbil?hndalrzinlEtdisembr+.
30,.pensYlHAzbhnTRediGOvrDhditElzHAvmUviGDhmhnI.evrsen.
31,.shmhtsHAvDeRphlitikhlbenhfitshvkoRs_natlIstDhtDhpRezhdent.damhnEtTsDhn?Uz.
32,.bhtHAviGtokttUhvryhtIhvRiphblikhnzhbwtDishnREShntWIkc_ymkhnvinstDhtmoRaRWrIdhbwtDispeRhdakshvdEton.thnphblikhli!.
33,.DeRznOdwtWIvdiminiStDhsOvIhtTRetHiRIshbstAncRhlIinDhlAst?iR.sezmenhsOthRepRizenhtiv!!AnWebr_.
34,.bhtDeRrolsO~Riskkln!.
35,.tUstIphvHOl.khnmInHyrinflEShn.hndivenShlIHyrintRistREts.
36,.DhlimRhlslostDhphlitikhltibEtonhDrthfhnddhkantRhT.piRIhd!.
37,..nwDeRdiWytidtUHAvkantRhshpoRtrzdRAgTRUDhmrAshvDhlIghlsisthm.piRIhd.
38,.DhbiginiGhvenIshlUShnizfrRanhldREghntUlukhnDhmiR.AndidmitDhtDisWizhmhstEt.piRIhd.
39,.DhRESOsignhlthfyhvhvDhmaRkitsevhnkoRtrlIdwntrnzinDhnyntInsevhntIthEtIsevhnpiRIhd.piRIhd.
40,.DIAvRijmaRkitdiklyndfrDhshbshkWhntkoRtrinDOzkEShz!Whzhbwtsevhnprsent.piRIhd!.
41,..HyrintRistREtskamh@hDhkoRtskamh_kudbIosetbyHyrinflEShnpiRIhd!.
42,.DAtsmoRRlAsWht.DhplUtSipikanhmissikspekt.piRIhd!.
