Id,Predicted
0,.kREvOlAstmhnTTrgRIdinpRinshphlthselitsAndWhndWotrtRAnspRrtEShnnstIvhdRiGhndpytpAvRhkEShnbiznisizfrhnhndhsklOz.
1,.DhkhmbyndbiznhsizhkwntidfortUHhndrdTrdIfyvmil?hndalrzhvdREvOzEtHhndrdnytITRIminl?hndalrzinnynpInEtIfypRevhn?U.
2,.inseptembr.DhkhmphnIRisIvnyntIsikspYntEt!mil?hndalrzezhcSeRhvdAmhcizfrmhbrIchvkantRAkthWoRd.RIlEtidtUhkOldpaRtnrnSip.
3,.AzmizkhndhlinmistrlOsIht.swTAfrkhzsencRhlghvrnmhnt.izlykhbiglhmbriGtAGk.
4,.Wyt.buRhkRAtsrinDhdRybrzsIt.hndblAksRytlIfiRWhtDhtAGksWephnzkhndUthdem.
5,.menIWhntthstoRmmhtAGkhndtEkhdt.
6,.bhtifDhHistrIhvhDrAfRrkhnmEShnzizenIgyd_Wyts.indIhnzhndsmolblAk.tRybudfiRDy!.
7,.gREnzhndsbIGz.mOstkoRninWIt.f?UcrzpRysizWrstRoGgr_.
8,.kWIkf?UcrzWrshpoRthdbykhnsrnmhtWIkmEbIvOlnrhbhl.ifkOldsmApfalODispAstWIkhnzWoRnT.Anhlhssed.
9,.DhWoRmiGtRendmEHAdmeltidDhsnOkhvranshmkRaps.
10,.koRnf?UcrzRrsIvshmstReGkT.anikspektEShnhvDIAgRhkhlcrdipaRtmhntWudREzsOvIhtIimpoRtfoRkAsts_AndWhss.
11,.AftrDhklOzhvtREdiGDhfoRkAstsWrIinkRIst.
12,.sObIGf?UcrzpRysizWrmikst.WiTbInshndhYlfeniShnHyr_.
13,.stRoGgrpamYldpRysizHelptWYlpRysizfrm.Anhlhstsed.
14,.mistrkalhnzlernbhthnOinzkoRniGdRiviZhnWhTRidUsiGAtstAf_hndWudnIdwtsydHelptUpRhdUshn?Uzletr_.
15,.HImEdhsElzkOHIsez.
16,.itWhzhnthgivhlWE~.
17,.ysetdwnhnfig?rtwtWhtDEmItid.hndsOlddhmanht.
18,.DhsenshvinpendiGdUnHAzstymEtImmoRkbitS!.
19,.tUdEHIsez.DIAdhtUtizHyvgatmydjab.hnd?Uvgat?uRhd.
20,.AdsjemhdhvEZhnmAninjrfoRhRItElr.itsrdagIdagWRO.
21,.mistrHOmzhkoRt.sedHIplAnztURif?UDhstRhkcrhvbelhgRU.
22,.itmEdbIDhvyRstRhkcrhnmhlthplishtIhvkoRprEShnzizhnphmOstifektidfrDhf?Ucr_.
23,.nOfrmplAnHhzbenddivyzd.bhtidizhndrkhnsidrrEShntURiv?UDhHOldstRekcrHIsed.
24,.DhpIphlspaRtIkaddREdmUvdintikIphsiShnzineRIhzhvphblikidmenhstREShninklUdiGHelT_hjhkEShn!lEbr_foRhnRrlEShnzhndAgRhkh!.
25,.Dhshlwtid.thplEsmoRhvitskadREAndDhpAnhmEnIhnv?uRakRI.
