Id,Predicted
0,.dREvhlAstmhnTphgRIdhnpRenshphlthselitsAnlhndWotrtRAnsprtEShnstEvhdoRiGhndpytkAbRhkEShnbiznhsUvzfrhnhndisklOzhd.
1,.DhkhmbyndbiznhsizhkwnhdfrtUHhndrdTrdIfyv!mil?hndalrzhvdREvOzEtHhndrdnytITRImEl?hndalrzinnyntInEtIfyvRevhn?U.
2,.inseptembr.DhkhmphnIRIsIvdnyntIsikspYnEt.mil?hndalrzAzitSeRvdAmijizfrmhbRIchvkantRAktUWoRd!RilEtidtUhkOlaRtnrnSip!.
3,.AzmizkendhlinmistrlOsIit.swTAfrkhzsencRhlghvrnmhnt.izWykhbig!WhmbriGtAGk!.
4,.Wyt.puRhkRAtsarinDhdRyvrzsIt.hndblAksRytlIfiRWhtDhtAGksWephnzkhndUttUDem!.
5,.menIWOntthstoRmmhtAGkAndtEkidOO.
6,.bhtifDhHistrIhvhDrAfrkhnnEShnzUzenIgyd_Wyts.indhnzhndsmolblAktRymSudDfiRbyR@.
7,.gREnzinsYbIGz!mOstkoRnhnkWIk.f?UcrzpRysizWrstRoGgr_.
8,.WIkf?UcrzWrshpoRtidbykhnsrnnDhtWIk!mEbIvOlnrhbhl.ivkOltsnApsfalODispAstWIkenzWoRmt.Anhlhssed.
9,.DhWoRmiGtRendmEHAdmeltidDisnOkhvrOnshmkRac!.
10,.koRnf?UcrzrsIvdshmstRiGk.anikspektEShnhDIAgRhkhlcrdipaRtmhntWudREzsOvIhtimpoRtfoRkAsts_Anhlhss.
11,.AftrDhklOzhvvtREdiG!DhfoRkAstsWrinkRIst.
12,.sYbIGf?UcrzpRysizWrmikst.WudbInzenYlfiniShnHyr+.
13,.stRoGgrpamYlpRysizHelptYlpRySizfRrm.Anhlissed!.
14,.mistrkalhnzlrndhdhnOhnzkoRniGdiviZhnWhTRIdUsiGAtstAf_hndWudmIdwtsydHelp.thpRhdUshn?Uzletr_.
15,.HImEdrsElzkOlHISrz!.
16,.itWhzhnthgivhlWRI!.
17,.ysApdwnhnsig?rdwtWhtDEmItid!hndsOldhmOnekt.
18,.DhsenshvinpendiGgUnHAzstymEntImoRk.DhSn.
19,.tUdE?Usez.DIAdhtUtiz.yvgatmyjRab.hnd?Uvgat?uRphd!.
20,.Adzjem@hdiviZhnmAAnjrfoRh@RItElr.itshddagItdolgoROI.
21,.mistrHOlmzhkWoRt.sedHIplAnztURiv?UDhstRhkcrhvbwlgRUh!.
