Id,Predicted
0,.tREvhvlAstmhGThgRIdhnpRinshphlthselitsAndlendWotrtRAnsprtEShnstIvrdoRiGhnpytpAbRhkEShnbiznhsizfrhnhndrsklOz.
1,.DhkhmbyndbiznhsizhkwtidfrtUHhndrdTrdIfyvmil?hndalrzhvdREbOs~EtHhnrdnytITRImil?hndalrzinnyntInEtIfyvpRephn?U!.
2,.inseptembr.DhkhmphnIRisIvdnyntIsikspYntEt.mil?hndalrzezhSeRdAmijizfrmhbRIcrvkantRAktrWoRd.RilEtidtUhkHOldpaRtnrSip.
3,.AzmizkendOlhnmistrlOdsIit.swTAfrkudsentRhlghvrmhnt.izlykhbigklhmbriGtAGk_.
4,.Wyt.buRhkRAtsrinDhdRyvrzsIt.hndblAksRytlIfiRWhtDhtAGksWephnzkhndUthdem.
5,.menIWhnttistoRmDhtAGkthndtEk?hdOliRO.
6,.bhtifDhHistrIhvhDrefrkhnnEShnzizenIgyd_Wyts.indIhnzhndsmolblAk.tRaRbSutfiRdDAt.
7,.gREnzhndsYbiGz.mOstkoRnhnWIk.f?UcrzpRyshzWrstRoGgr@.
8,.WIf?UcrzWrshpoRthdbykhnsrnnhtWItmEbIvOlnrhbhl.ifkOldsnApcfalODispAStWIkenzWornT.Anhlhssed.
9,.DhWoRmiGtRendmEHAdmeltidDhsnOkhvrOnshmkRaps_.
10,.koRnf?UcrzRisIvdshmstReGkT.anikspektEShnhvDIAgRhkhlcrdipaRtmhntWudREzsOvIhtimpoRtfoRkAsts_Anhlhss.
11,.AftrDhklOzhvtREdiG.DhfoRkAssWrIinkRIst!.
12,.sObIiGf?UcrzpRyshzWrmikst.WidbInzhnYlfiniShnHyr_.
13,.stRoGgrpomYlpRyShSHelptYlpRyShzfrm.Anhlhssed..
14,.mistrkalhnzlrnDhthnOWinzkoRniGdivEZhnWiTRidUsiGitstAf.hndWudnIdwtsydHelpthpRhdUshn?Uzletr_.
15,.HImEdrsElzkOlHIsez..
16,.itWhzhntDhgivhlWE!.
17,..yset.dwnhnfig?rdwtWhtDImItidhnsOldhmanhkt.
18,.DhsenshvinpendiGdUnHAdstymEntImoRk.DhSen!.
19,.tUdEHIsez.DIAdhtUtrsyvgatmyjab.hn?Uvgat?uRpkpRId.
20,.AdsjemhdiviZhnmAnhnjrfWRhRItElr.itsidolgIdOrgWrl.
21,.mistrHOmzhkoRt.sedHIpAnztURIv?UDhstRhkttrOvbelgRUppR.
22,.itmEbIDhtaRstRhktrhnmhlthpisitIhvkoRprEShnzizhnDhmOsdifektidfrDhf?Ucr_.
23,.nOfrmplAnHAzpenddifyzd.bhtitizhndrkhnsidrEShntURiv?UDhHOldstRhkcrHIsed.
24,.DhpIphlspaRtIkadREtmUvdinthkIphziShnzhndeRIhzHhvphblikhdministREShninklUdiGHelT_ejRhkEShn.lEbr_foRhnRIlEShnzhnAgRhkh@.
25,.Dishlwdit.tUplEsmoRhvitskadREinDhpAnhmEnIhnb?uRakksn!.
26,.nimrhskamrAdzWrhpYntid.mOstivTRUngRAcREtidfrm?UnhvrshtIzhnkamhnhstblakmEShnz.
27,.AdzWiTDhResthvDhRIShmHwevr_DeRydIaledSubIkEmkhntAmhnEtid.byDhtrmhvkrapShn!.
28,.innyntInEtIfyv_AndzHYlWhnniRlIivevhnbil?hndalrzinddAmhjizAt.tRyl_DhbighstjhjmhntevrhWoRdithplEntRh!.
29,.DhtUkhmphnIshgRIdthsethldhkEsfrTRIbil?hndalrzinlytdiSembr@.
30,.penzYlHhzbhnfRediGOvrDhditElzhv!mUviGDhmhnI.evrset.
31,.shmitsHAvDeRphlithkhlbenhfitshvkoRs_natlIstDhtDhpRezhdent.damhnEtsDhn?rz.
32,.bhtHAviGtoktUhvryhtIhviphblikhnzhbwtDisinRIShntWIks_ymkhnvenstDhtmoRoRgWrIdhbwtDispeRhdakshvDitom.hnphblikWhO!.
33,.DeRznOdwtWIpdiminiStDhsOvIhtTRetfeRIshbstAnchlIinDhlAst?iR.sOsmenhsOdhRepRisenhtrDenWebr..
34,.bhtDeRrolsORiSdhkhO!.
35,.tUstIphfOl.khmInHyrinflEShn.hndivenchlIHyrintRistREts.
36,.DhliprhnslostDhphlitikhldhbEtonpoRDrthfhndDhkantRhS.piRIhd.
37,.nwDeRdiWytidtUHAvkantRhshpoRtrzdRAkTRUDhmrAshvDhlIghlsisthm.piRIhd.
38,.DhbiginiGhvenIshlUShnAzforRanhldREghntUlukinDhmiRAndidmetDhtDisWizhmhstEt.piRIhd.
39,.DhRESOsignhlthfyvhvDhmaRkitsevhnkWoRtrlIdwntrnzinDhnyntInsevhntUthEtIsevhnpiRIhd.piRIhd.
40,.DIAvRijmaRkitdiklyndfrDhsepshkWhntkWoRtrinDOzkEShz.Whzhbwtsevhnprsent.piRIhd.
41,..HyrintRistREtskamh@hvkoRskamh_kudbIofsetbyHyrinflEShnpiRIhd!.
42,.DAtcmoRRlezsWht.DhplUtSipikanhmissikspektpiRIhd!.
43,..Dhn?UceRmhn.nOsidHizphlithkhlkhmekShnzmykshmmaRkitprtishphntshspiShs_DhtIphltRythstim?hlEtDIikanhmIthHelpjIOpIkAnhditsnekst?iR.piRIhd.
44,.AzsyhnzhvhstRoGgrIkanhmIimrjkamh@HIAdzkamh_loGHyfhntrmREtsaRlyklItUdRistHyr_piRIhd!.
45,..AtDisEmtymkamh.hgResivikspAnShnhbRoodHhzmEdDhmOstsWistshvsWrsbAGks.hgObhlklEr!piRIhd.
46,..y?UbIesshbsidIeRIhnn?U?oRk@WhzDhfrsttfoRhninstitUShnthmenintr?Uesdhmestik.koRprhtbandiSU!piRIhd.
47,.inWestjrmhnIkamh.?UbIeshkWyrddoRYclendrbAGk!innyntInEtIfyvpiRIhd!.
48,.HizkRidenShlshgjestrdDhtDhsOvIetsmytHaRbrmoRintRistindipOmhsI.DhnRIlistEt.iRId.
49,.!dhbhlkWOt.ifDhsOvIetstisydtUcEnjDhnEcrhvDhmiShnkamh_DEnwHAvDhRytgyHiR_kamh.dhbhlkWOt.sezDIizRElIhfiShl.piRIhd.
50,.hn?UZRilIsiSrd?estrdE.sedDhtDhlynhvkReditWudbIgeRhntIdbypRUvIhnsOvr.piRIhd!.
51,.lAstWIk!kamh.DhpRUvIhntghvrmhntoRdrdDhtOlsOvrpRhdUstbystEtHyfhnOndmynzmhstbIsOldthDisentRhlbAGk.piRIhd.
52,.pRyvhtsOlvrikspoRtrzolsOHAvbhnofrdinsenrztUselDeRsOvrtUDhbAGk.piRIhd.
53,..nwkamh.WhtevrDeRdRobAkshndRIllyfkamh_WempsinsikShnaRnatnesthseRhlIbAdTiGzpiRIhd.
54,.DEkhnbIHhleRIhslIfhnik.kamh.AzWelezHylIfektivtUlzfrsAtyR.piRIhd.
55,.DisizhspeShlItRUinDhWrkrhv.bRitiSnabhlistskamh_AndIvinkamh.pRIvIhslIkamh.inDhWrkhvRil?hnbYd.piRIhd.
56,.mistrkApchnbrggsedn?UzrkhnphbliSiGoReRIhsdUsniWudfrDrikspoRWiTDhmhphts.piRIhd!.
57,.natDAtfAktsmhSInzrn?U.piRIhd.
58,.DEvbenin?UzsinDI?UessensDIrlInyntInsevhntEtspiRIhd.
59,.bhtDeRpap?hleRhtIgRUslOlI.DikhztRAnzmiShnofhnWhzslhgiSkamh_pRintiGmesI.hndmhSInzkudhn.dhbhlkWOt.thlk.dhbhlkWOt.tUIc@hDrifiShntlI.piRIhd.
60,.biznisizWrolsOWeRIhvfAktspRajeks.AftrhHylItwtidfedrhlikspResvencrthpRhvydfAktsrvhsflwndrd_hndWhzjethshndinnyntInEtIsevhn.piRIhd.
