Id,Predicted
0,.REvOWAstmhnTfhgRIdhnpRinshphlthfelitsAndlhndWotrtRAnsprtEShnstIvhdoRiGhndpytfAbRhkEShnbiznhSUzfrhnhndiskWOz.
1,.DhkhmvyndbiznhsizrkwnhdfrtRUHhndrdTrdIfyvmil?hndalrzhvdREvOz+EtHhndrdnyntITRImin?hndalrzinnyntfInEtIfyvRevhn?U.
2,.inseptembr.DhkhmphnIRIsIvmyntHIsikspYntEt.mil?hndalrzAzhtSeRvdAmhnjizfrmhbRIcvkantRAktUWoRd_RIlEtidtUhkOldpaRtnrSip.
3,.AdzmizkendOlinmistrlOsIt.swTHAfrkhzsencRhlghvrmhnt.HizWykhbiglhmbriGtAGk!.
4,.Wyt.p?IRhkRAtsrinDhdRyvrzsIt.hndblAksRyjlIfiRWhtDhtAGksWephnzkhndUttUDem.
5,.menIWontthstoRmDhtAGkhndtEk?htO.
6,.bhtifDhHistrIhvhDrAfrkhnnEShnzHUzAndIgyd_Wytts.indIhnzhndsmoldlAktRybSudfiRdy.
7,.gREnzindsYbInz!mOstkoRninWItf?UcrzpRysizWrstRoGgr_.
8,.kWIk.f?UcrzWrShpoRtidbykhnsrnDAtWItmEbIvolnrhmhl!ifkOldsnAcfalODispAnstWIkenzWoRmT.Andhlhse_.
9,.DhWoRmiGtRAndmEHAdmelvtidDhsnOkhvranshmkRaps.
10,.koRnf?UcrzRrsIvshmstRiGkT!anikspektEShnhvDIAgRhkhlcrdipaRtmhntWudREdzsOvIhtimpoRtfoRkAsts_AnhWhss.
11,.AftrDhklOzhvtREdiG_DhfoRkAssWrinkRIst.
12,.sYbIGf?UcrzpRyshzWrmikst.WudbInzenYlvfiniShnHyr_.
13,.stRoGgrpamYlpRySizHelptWYlpRySizfrm.Anhlistsed..
14,.mistrkaliGzlrndhthnOinzkoRniGdivUZhnWizRId?UsiGAtstAf_hndWudmIdwtsydHelpptUpRhdUShn?Uzletr_.
15,.HImEdrsElzkOlHISOz.
16,.itWhzhnthgivhlWY_.
17,.yset.dwnhnfig?rtwtWetDImIdid.hndsOldhmanekt.
18,.DhsenshvhnpendiGdUmHAstymIntImoRk_DitSd.
19,.tUdEHIsez.DIAdhtUtUz.Hyvkatmyjab.hnd?Uvgat?uRhhd.
20,..Adzjim@hdiviZhnmAnhnjrforRItElr_itshdolgIt.dolgWR.
21,.mistrHOnzhkoRt.sedHIplAnztURiv?UDhstRhkcrhvbelgRUhd.
