Id,Predicted
0,.tREvhvlAstmhnThgRIdhnpRinshphlthselitsAndlhndWotrtRAnsprtEShnstIvdhdoRiGAndpytpAbRhkEShnbiznhsisfrhnhndisklOz.
1,.DhkhmbyndbiznhshzhkwnidfrtUHhndrdTrdIfyvmil?hndalrzhvdREvOz~EtHAndRrdnytITRImil?hndalrzinnyntInEtIfyvRevhn?U.
2,.inseptembr.DhkhmphnIRisIvdnyntIsikspYntEt.mil?hndalrzAzhtSeRvdAmhjizfrmhbRIchvkantRAkthWoRd@RilEtidtUhkHOlppaRtnrSip.
3,.AzmizkendhlhndmistrlOsIht.swTAfrkhzsencRhlghvrnmhnt.izlykhbigglhmbriGtAGk!.
4,.Wyt.buRhkRAtsrinDhdRyvrzsIt!hndblAksRytlIfiRWhtDhtAGksWephnzkhndUthDwm.
5,.menIWonttUstoRmdDhtAGkAndtEk?htO.
6,.bhtifDhHistrIhvhDrefRrkhnnEShnzUzenIgyd_Wyts.indIhnzhndsmolblAk.tRybSutfiRDAt.
7,.gREnzhndsYbInz!mOstkoRnhndWIk.f?UcUzpRyshzWrstRoGgr_.
8,.kWIkf?UcrzWrshpoRthdbykhnsrnDhtWItmEbIvOlnrhbhl@ifkOldsnAcsfalODispAstWIkendzWoRnd.Anhlhssed.
9,.DhWoRmiGtRendmEHAdmeltidDhsnOkhvronshmkRaps!.
10,.koRnf?UcrzRisIvdshmstReGT.onikspektEShnDhtDIAgRhkhlcrdipaRtmhntWudREzdsOvIhtimpoRtfoRkAs_Anhlhs.
11,.AftrDhklOzhvtREdiG!DhfoRkAssWrinkRIst.
12,.sYbIinf?UcrzpRysizWrmikst.WudbInsenYlfiniShnHyr+.
13,.stRoGgrpamYlpRyshSHelptYElpRysizfrm!Anhlhssed..
14,.mistrkolinzlrnDhthnOhnzkoRniGphviZhnWhzRidUsiGitstAf_hndWudnIdwtsydHelpthpRhdUsin?Uzletr_.
15,.HImEdrsElzkolHIsez!.
16,.itWhzhntDhgivhWE!.
17,.yset.dwninfig?rdwtWhtDImItid!hnsOldDhmonht.
18,.DhsenshvinpendiGgUnHAzstymIntImoRk_DES.
19,.tUdEHIsez.DIAdhtUthz!yvgatmyjab.hnd?Uvgat?uRhp.
20,.Adsjem@hdiviZhnmAnhjrfoRhRItElr.itsHUdolgI.dolhgWr.
21,.mistrHOmzhkoRt.sedHIplAnztURiv?UDhstRhktcrhvbelgRU.
22,.itmEbIDhtaRstRhkcrhndmhlthplisitIhvkoRprEShnzizhnDhmOstifektidfrDhf?Ucr_.
23,.nOfrmplAnHAzpendivyzd.bhtitizhndrkhnsidrEShntURif?UDhHOldstRhkcrHIsed.
24,.DhpIphlzpaRtIkajREgmUvdindhkIphziShnzhneRIhzhvphblikhdministREShn!inklUdiGHelT_ejhkEShn!lEbr_foRhnRIlEShnzhndAgRhkh@.
25,.Dishlwtit.tUplEsmoRhvitskadREinDhpAnhmEnIhnp?uRakkRI.
26,.mUmrhskamRAtzWrhpYntid.mOsthvHUmgRAcREtidfrm?UnhvrshtIzhnkamhnhstblaknEShnz.
27,.AzWiTDhResthvDhRUSImHwevr_DeRytIAlhjIbIkEmkhntAmhnEtid.byDhtrmhvkrapShn.
28,.innyntInEtIfyv_AnzYlWhnniRlIivevhnbil?hndalrzindAmijizAt.tRyl_DhbighstjhjmhntevrhWoRdithplEnt.
29,.DhtUkhmphnIzhgRIdthsethlhkEsfrTRIbil?hndalrzinlytdiShmbr+.
30,.pensYlHAzbhnfRediGOvrDhdItElzAvmUviGDhmhnI!evrse.
31,.shmitsHAvDeRphlitikhlbenhfitshvkoRs_natlIstDhtDhpRezhdent.damhnEtsDhn?Uz.
32,.bhtHAviGtaktUhvRyEtIhvRiphblikhnzhbwtDisinREShntWIks_ymkhnvensDhtmoRaRWrIdhbwtDispeRhdaksHhvdEtam.DhnphblikWh.
