Id,Predicted
0,.tREvhlAstmhnTThgRIdinpRinshphlthselitsinlhndWotrtRAnsprtEShnstIvhdoRiGAndpyppebRhkEShnbiznhsizfrhn@hndrsklOzid.
1,.DhkhmbyndbiznhsizrkAnidfoRtUHhndrdTrdIfyvmil?hndalrzHAvtREvROz+EtHhnrdnyntITRImil?hndalrzinnyntInEtIfyvpRephn?U@.
2,.inseptembr.DhkhmphnIRisIvdnyntIsikspYntEt!mil?hndalrzezitSeRhvdAmijizfrmhbRIchvkantRAkthWoRd!RilEtid.tUhkOldpaRtnrSip!.
3,.AzmizkendhlhndmistrlOsIht.swTAfrkhzsentRhlghvrmhnt.izlykhbiglhmbriG_tAGk!.
4,.Wyt.b?uRhkRAtsrinDhdRyvrzsIt.hndblAksRytlIfiRWhtDhtAGksWephnzkhnbUttUdem.
5,.menIWontthstoRmbhtAGkAndtEk?hdhrh!.
6,.bhtifDhHistRIhvhDrAfRhkhnnEShnzHizenIgyd_Wyts.indhnzhndsmolblAk.tRybdSudfiRvAlh!.
7,.gREnzhndsYbIGz!mOstkoRnhnkWIk.f?UcrzpRyshzWrstRoGgr_.
8,.kWIkf?UcrzWrshpoRthdbykhnsrnDhtWIkmEbIvOlnrhbhlifkOldsmApsfalODispAstWIkendzWoRmT.Anhlhssed_.
9,..DhWoRmiGtRendmEHAdmeltidDhsnOkhvranshmkRaps!.
10,.koRnf?UcrzRisIvdshmstReGT.onikspektEShnhvDIAgRhkhlcrdipaRtmhntWudREzsOvIhtimpoRtfoRkAsts_Anhlhss.
11,.AftrDhklOzhvtREdiG!DhfoRkAstsWrinkRIst.
12,.sYbIinf?UcrzpRyshzWrmikst.WudbIiGshnYlfiniSiGHyr+.
13,.stRoGgrpamYlpRyshzSHelptWYlpRysizfrm!Anhlhssed..
14,.mistrkalhnzlrndDhthnOiGzkoRniGphviZhnWiTRIdUsiGitstAf_hndWudmIdwtsydHelpt.thpRhdUshn?Uzletr_.
15,.HImEdrsElvkolHIsedz!.
16,.itWhzhntthgivhlWE@.
17,.ysAp.dwninfig?rdwtWhtDEmItid!!hnseldhmOnht.
18,.DhsensivintpendiGdUnHAzstymEntImoRk_beSlr!.
19,.tUdEHIsez.DIAdhtUtiz.yvgatmycab+hnd?Uvga?uRhpEhd.
20,.AdzjemhdiviZhnmAnhjrfoRhRItElr_itsrdalgIvgagWROlz.
21,.mistrHOmzDhkoRt.sedHIplAnztURiv?UDhstRhkcrhvbelvgRpUph.
22,.itmEbIDhtwRstRhkcrhnmhlthpleshtIhvkoRprEShnzizhnthmOsifektivfrDhf?Ucr_.
23,.nOfrmplAnHAzbendivyzd.bhtitizhndrkhnsidrEShntURiv?UDhHOldstRhkcrHIsed.
24,.DhpIphlzpaRtIkaRdRhdmUvdintikIphziShnzhndeRIhzhvphblikAdminhstREShn.inklUdiGHelT_ejhkEShn!lEbr_foRnRhlEShnzAndAgRhkO_.
25,.Dishlwdit.thplEsmoRhvitskadRIhnDhpAnhmEnIhnb?uRakRs!.
26,.nUUmrhskamRAdzWrhpYntid.mOsthvHUmgRAjWeREtidfrm?UnhvrshtIzhnkam?inistblaknEShnz.
27,.AtzWiTDhResthvDhRUSImHwevr_DeRydIAlhjIbIkEmkhntAmhnEtidbyDhtrmhvkrhpShnd.
28,.innyntInEtIfyv_AndzYlWhnniRlIOlevhnbil?hndalrzhndAmijizAt.tRyl_DhbighstjhjmhntevrhWoRdAdhplEnsi!.
29,.DhtUkhmphnIzhgRIdthsethldhkEsfrTRIbil?hndalrzindlytdisembr_.
30,.penzYlHAzbhnfRetiGOvrDhdItElzhvmUviGDhmhnI!evrsin.!.
31,.shmhntsHAvDeRphlitikhlbenhfiftshvkoRsnatlIst.DhtDhpRezhdentdamhnEtsDhn?UUz.
32,.bhtHAviGtoktUhvryyhtIhvRiphblikhnzhbwtdishnRIShntWIksynkhnvinstitmoRaRWrIdhbwtDispeRhdaksHhvDEtan.Dhnphblikllh!.
33,.DeRznOdwtWIptiminijDhsOvIhtTRetfeRIshbstAnchlIinDhlAst?iR_sizmenhsOthtRepRizenhtivDinWebr_.
34,..bhtDeRrolsORisnanhR!.
35,.tUstIphfol.khmInHyrinflEShn!hndivenchlIHyrintRistREts.
36,..DhlibRhlzlostDhphlitikhldhbEtanWeDrthfhndDhkantRhT.piRIhd!.
37,..nwDeRdilydidtUHAvkantRhshpoRtrztRAgTRUDhmorAshvDhlIghlsisthm.piRIhd.
38,.DhbiginiGhvenIshlUShnhzforRanhldREghntUlukinDhmiR_AndidmitDhtDisWhzhmhstEt.piRIhd.
39,.DhRESnhvsignhlthsyvhvDhmaRkitsevhnkWoRtrlIdwntrnzinDhnyntInsevhntIth~EtIsevhnpiRIhd.piRIhd.
40,.DIAvRijmaRkitdiklymfrDhsebshkhntkWoRtrinnOzkEShz.WhThbwtsevhnprsent.piRIhd!.
41,..HyrintRistREtskamh@hvhkoRpskamh_kudbIofsetbaHyrinflEShn!piRIhd!.
42,.DAtsmoRRlesWht.DhplUtSipikanhmissikspektpiRIhd_.
43,..Dhn?UceRmhn!nOzsDhtHizphlitikhlkhmekShnzmykshmmaRkitpRhtishphntsshspiShs_DhtIvhltRyvhstim?hlEtDIikanhmIthHelpjIpIkAnhditsnekst?iR_piRIhd.
44,.AzsynzhvhstRoGgrikanhmIimrjkamh@kIAdzkamh_loGHyfhntrm@REtsaRlyklItUdRiftHyr_piRIhd!.
45,..AtDhsEmtymkamh@hgResivikspenchnhbRodHAzmEdDhmOstsWishvsWispAGks!hglObhlklER!piRIhd!.
46,..y?UbIesshbsidIeRIhnn?U?oRk@WhzDhfrsttfaRhninstitUShnthmAnijr?Uesdhmestik.koRpRhtbandiSU.piRIhd.
47,.inWestjrmhnIkamh.?UbIeshkWyrd!dYclendrbAGk!innyntInEtIfyvvpiRIhd_.
48,.HizkRidenchlshgcestidDhtDhsOvIetsmytHaRbrmoRintRisthndiplamhsI.DhnRIlistEt.piRIh.
49,.dhbhlkWOt.ifDhsOvIetsdisydticEnjdDhnEcrhvDhmiShnkamh_DEnwHAvDhRytkaHiR_kamh.dhbhlkWOt.sezDIizRElIhfiShl.piRIhd_.
50,.hn?UUzRIlIsiSUd?estUdE.sedDhtDhlynhvkReditWudbIgeRhntIdbyphRUv?ensOvr.piRIhd_.
51,.lAstWIk!kamh.DhprUvIhnghvrmhntoRdrdDAtolsOvrpRhdUstbystEtHyfhnOndmynzmhstbIsOldthDhsentRhlbAGk.piRIhd.
52,.pRyvhtsivrikspoRtrzolsOHAvbhnofrdinsenivztiselDeRsOvrtUDhbAG.piRIhd.
53,.nwkamh.WhtevrDeRdRolbAkshndRIlly~kamh_WimpsinfikShnaRnatneshseRhlIbAdTiGzpiRIhd.
54,..DEkhnbIfleRIhslIfhnIkamh.AzWelezHylIfektivtUlzfrswtyr_piRIhd.
55,..DisHizhspeShlItRUinDhWrkhv.bRitiSnalvhWhstskamh_AndIvinkamh@pRIvIhslEtkamh.indDhWrkhvWill?hmbYd.piRIhd.
56,.mistrkAtshnbrgsedm?UZhkhnphbliSiGoReRIhzdisnitWudfrDriksploRWiTDhmhphts.piRIhd.
57,.natDhtfAktsmhSinzrn?UpiRIhd!.
58,.DEvbRenin?UzinDI?UessensDiRlInyntInsevhntIzpiRIhd.
59,.bhtDeRpap?hleRhthgRUvslOlI.bikhztRenzmiShnofhnWhzslhgiSkamh_pRentiGmesIhndmhSInzkudhn.dhbhlkWOt.tok.dhbhlkWOt.tUIchDrifiShntlI!piRIhd.
60,.biznisizWrolsOWeRIhvfAktspRajeks.AftrhHylItwtidfedrhlikspReStvencrthpRhvydfAktssrvhsflwndrd_hndWhzjethshndinnyntInEtIsevhn.piRIhd.
61,.DhfedRhlikspRestsrviskamh_WichlwdbiznhsizhnindhvijhWhlztisenfAksizfrmDhkhmphnIzstoRzkamh_kEmtUrlI!hndWiTtUikspensivkamh_AnhlhstsE.piRIhd!.
62,..mistrhzIizhfUmriGliStIcr_izhdhtDhtthlivriGstREttokWiTdiplhmAtiksmylzhtsofinDhHaRShnhshvHizWrdz.
63,.mistrzIitUWiz.yRAksliGktUDI?UeesizhspeShlIsensithvhbwtDIhmeRikhndisepShnOvr@yRAn@.
64,.hsOsIEtidenIz_nOnizeRkOh@DizshjenRhlpaRtnrhDeRkOhHOttelpaRnrzhnHAzhWhnprsenchnhlpaRtnrintRistinDhpaRtnrSip..
65,.AneRkOhspOksumhnsedDhkhmphnIfoRmDhvencr_tikRIEthfynAnsiGvIikhlfrf?UcrHOtelpRajekts.
66,._tlAftnOstHAdzolsObiGgudthloRhnslIthnsn.
