Id,Predicted
0,.dREvOlAstmhnThgRIdimpRinshphlthselitsAndlhndWotrtRAnsprtEShninstIvhdoRiGAndpyppAvRhkEShnbiznhshzfrhnhndisklOz.
1,.DhkhmbyndbiznhshzhkwtidfrtUHhndrdTrdIfyvmil?hndalrzhvdREvOz+EtHhndrdnyntITRImil?hndalrzinnyntInEtIfyvgRevhn?U@.
2,.inseptembr.DhkhmphnIRisIvdnyntIsikspYntEt.mil?hndalrzezhSeRhvdAmhjrzfrmhbRIchvkantRAktthWoRd.RIlEtidtUhkOldpaRtnrSip!.
3,.AzmiskendhlindmistrlOsIit.swTAfrkhsentRhlghvrnmhnt.HizlykhbiglhmbriGtAGk!.
4,.Wyt.b?uRhkRAtsrinDhdRybrzsIt!hndblAksRytlIfiRWhtDhtAGksWephnzkhndUthden.
5,.menIWontthstoRmDhtAGkAndtEkhtOt!.
6,.bhtifDhHistrIhvhDrAfrkhnnEShnzUzhnIgyd_Wyt.indenzhndsmolblAk.tRybSudfiRDt@.
7,.gREnzhndsYbIiGz!mOstkoRnhnHWIt.f?UcrzpRyshzWrstRoGgr_.
8,.kWIkf?UcrzWrshpoRthdbykhnsrnDhtWItmEbIvOlmrhbhl!ifkOldsnAcfalODispAstWIkenzWoRmp.Anhlhsed_.
9,..DhWoRmiGtRendmEHAdmeltidDhsnOkhvranshmkRaps!.
10,.koRnf?UcrzRisIvdshmstReGkT.anikspektEShnhvDIAgRikhlcrdipaRtmhntWud@REzsOvIhtimpoRtfoRkAss_AnhWhs.
11,.AftrDhklOzhvtREdiG!DhfoRkAssWrinkRIst.
12,.sYbIiGf?UcrzpRyshzWrmikst.WrdbIGshndYlfiniShnHyr@.
13,.stRoGgrpamYlpRyshzHelptYhlpRyshzfrm.Anhlhssed..
14,.mistrkolinzlrnbhthnOinzkoRniGdRiviZhnWizRidUsiGAtstAf_hndWudnIdwtsydHelpthpRhdUshn?Uzletr_.
15,.HImEdhsElzkolHISez!.
16,.itWazhntthgivhWE~.
17,.yset.bwninfig?rdwtHWhtDEmItid!hndsOldhmanht.
18,.DhsenshvinpendiGdUnHAzstymEhtImmoRk_bES!.
19,.tRUdEHIsez.DIAthtUtizyvgatmyjabbhnd?Uvgat?uRhkh.
20,..AdsjemhdiviZhnmAnhjrfoRh@RItElr_itshdalgEvdolgWrl.
