Id,Predicted
0,.tREvhlestmhnTThgRIdinpRinshphlthselitsinlhndWotrtRAnsprtEShnstIvidoRiGhndpyttebRhkEShnbiznhsizfrhnhndrsklOzd.
1,.DhkhmbyndbisnhsizrkwtidfoRtRUHhndrdTrdIfyvmil?hndalrzHAvdREvOz~EtHhndrdnytITRImil?hndalrzinnyntInEtIfyvRevhn?U!.
2,.inseptembr.DhkhmphnIRisIvdnyntIsikspYntEt!mil?hndalrzezhtSeRvdAmhcrzfrmhvRIchvkantRAkttUoRd.RilEtidtUhkOldpaRtnrSip!.
3,.AzmizkhndhlindmistrlOsIht.swTAfrkhzsencRhlghvrmhnt.izlykhvbig~lhmbriGtAGk!.
4,.Wyt.buRhkRAtsrinDhdRyvrsIt.hndblAksRytlIfiRWhtDhtAGksWephnzkhndUtthdem.
5,.menIWonttistoRmbhtAGkhndtEkidO.
6,.bhtifDhHistrIhvhDrAfRhkhnnEShnzHizenEgyd_Wyts.indhnzhndsmolblAktRaRdSudfiRDA@.
7,.gREnzhndsYbIiGz!mOstkoRnhnkWItf?UcrzpRyshzWrstRoGgR_.
8,.kWIkf?UcrzWrshpoRthdbykhnsrnDhtWIkmEbIvOlnrhbhl!ifkOldsmApcfalODispAstWIkendzWoRnTAnhlhssed_.
9,..DhWoRmiGtRendmEHAvmeltivDhsnOkhvranshmkRas.
10,.koRnf?UcrzRisIvdshmstReGkTanikspektEShnhvDIAgRhkhlcrdipaRtmhntWudREzsOvIhtimpoRtfoRkAss_Anhlhsts.
11,.AftrDhklOzHhvtREdiG!DhfoRkAstsWrinkRIst!.
12,.sYbIiGf?UcrzpRyshzWrmikst_WudbIGshnYlfiniShnHyr_.
13,.stRoGgrpamYlpRyshvzHelptWYlpRyshzfrm.Anhlhstsed!.
14,.mistrkalinzlrnbhthnOinzkoRniGdhviZhnWiTRidUsiGitstAf_hndWudmItwtsydHelp!tUpRhdUshn?Uzletr_.
15,.HImEdrsElzkolHIsez!.
16,.itWhzhnttigivhWE~.
17,..ysektdwthndfig?rtwtWhtDEnItidhnsOldhmonht.
18,.DhsensHhvinpendiGdUmHAvzstymEntImoRk_bhtSnz.
19,.tUdEHIsez.DIAdhtUtrz.yvgatmyjab+hnd?Uvgh?uRpId.
20,.AdzjemhdhviZhnmAnhjrfoRhRItEr_itsrdlgIddOgWrld.
21,.mistrHOmzhkoRt.sedHIplAnztURiv?UDhstRhkcrhv_belgpRh!.
22,.itmEbIDhtaRstRhkcrhnmhlthplishtIhvkoRprEShnzHizhnthmOstifektivfrDhf?Ucr_.
23,.nOfrmplAnHhzbendifyst.bhtitizhndrkhnsidrEShntURif?UDhHOldstRhkcrISed!.
24,..DhpIphlzpaRtIkadRhtmUvdinDhkIphziShnzhndeRIhzhvphblikAdminhstREShn!inklUdiGHelT_ejhkEShn!lEbr_foRnRhlEShnzhndAgRhpkt_.
25,.Dishlwdid.tUplEsmoRhvitskadREIinDhpAnhmEnIhnb?uRaRkRI.
26,.n?UmrhskamRAdzWrhpYntid.mOsthvHUmgRAjWeEtidfrm?UnhvrshtIzhnkamhnhstblaknEShnz.
27,.AtsWiTDhResthvDhRISIhmpwevr_DeRydIalhjIbikEmkhntAmhnEtidbyDhtrmhvkrhpShn!.
28,..innyntInEtIfyv_AndsHYlWhnneRlIOvevhnbil?hndalrzindAmijizAt.tRyl_DhbighstchRjmhntevrhWoRdrdhplEnt!.
29,.DhtUkhmphnIShgRIdtisethllhkEsfrTRIbil?hndalrzinlEtdisembr_.
30,.penzYYlHhzbinfRetiGOvrDhdItElzhvmUviGDhmhnI!evrsi.!.
31,.shmhntsHAvDeRphlitikhlbenhfitshvkoRs_nhtlIst.DhtDhpRezhdent.damhnEtsDhn?Urz.
32,.bhtHAviGtoktUhvryEtIhvRiphblikhnzhbwtdishnRIShnWIks_amkhnvinstrtmoRaRWrIdhbwtDispeRhdaksHhvdEkton.thnphblikllt.
33,.DeRznOdwtWIpdimeniSDhsOvIhtTRetfeRIshbstAncnhlIinDhlAst?iR_sOsmenhsOthRepRizenhtU!DinWebr_.
34,.bhtDeRrolsORiskin@.
35,.tUstIphfl.khmInHyrinflEShn!hndivenchhlIHyrintRistREts.
36,.DhlibRhlzlostDhphlitikhldibtanWeDrtUfhndDhkantRhT!piRIhd!.
37,.!mwDeRdilydidtUHAvkantRhshpoRtrzdRAgTRUDhmoRAshvDhlIghlsisthm.piRIhd.
38,.DhbiginiGhvenIshlUShnhzfrRanhldREghntUlukinDhmeRrAndidmitDhtDisWizhmhstEk.piRIhd.
39,..DhRESOsignhltfyvhvDhmaRkitsevhnkWoRtrlIdwntrnzinDhnyntInsevhntIthEtIsevhnpiRIhd.piRIhd.
40,.DIAvRijmaRkitdiklyndfrDhshbshkhntkoRtrinnOskEShz!WhThbwtsevhnprsent.piRIhd!.
41,..HyrintRistREtskamh@hvkoRskamh_kudbIofsetbyHyrinflEShn!piRIhd!.
42,.DAtsmoRrlesWht.DhblUdcipitkanhmissikspektpiRIhd_.
43,..Dhn?UceRmhn!nOshtHizphlitikhlkhnekShnzmEkshmmaRkitpRtishphntsshspiShs_DhdIphltRyvhstim?hWEtDIitkanhmIthHelpjIOpIkAnhditsnekst?iR_piRIhd.
44,..AzsynzhvhstRoGgrtIkanhmIimrjkamh@HIAdzkamh_loGHyfhntrmREtsaRlyklItUdRiftHyr_piRIhd_.
45,..AtDhsEmtymkamh@hgResivikspAnchnhbRodHAzmEdDhmOstsWishvsWispAGks!hglObhlklEr!piRIhd!.
46,..h?UbIesshbsidIeRIinnU?oRk_WhzDhfrsttfaRhninstht?UShnthmAninjr?Uesdhmestik.koRpRhtbandDiSU!piRIhd.
47,.inWestjrmhnIkamh.?UbIeshkWyrd!dYchlendrbAGk!innyntInEtIfyvpiRIhd_.
48,.HizkRhdenchlshgcestidDhtDhsOvIetsmytHaRbrmoRintRisthndiplamhsI.DhnRIlistEt.
49,.dhbhlkWOt.ifDhsOvIetsdisydticEnjDhnEcrhvDhmiShnkamh_DEnwHAvDhRytkytHiRkamh.dhbhlkWOt.sezDIizRElIhfiShl.piRIhd_.
50,.hn?UzRlIsiSUd?estrdE_sedDhtDhlynhvkReditWudbIgeRhntIdbyprRUv?ensOvr.piRIhd_.
