Id,Predicted
0,.dREvhWestmhnTThgRIdinpRinshphlthselitsAndWhndWotrtRAnsprtEShnstIvhdoRiGhndpyppebRhkEShnbiznisizfrhnhndiskWOts.
1,.DhkhmbyndbiznhsizDhkwnthdfrtUHhndrdTrdIfyvmil?hndalrzhvdREvOzEtHhndrdnytITRImil?hndalrzinnyntInEtIfyvRephn?U!.
2,.inseptembr.DhkhmphnIRisIvdnyntIsikspYntEt.mil?hndalrzAnzhtSeRhvdAmhjidzfrmhbRIchvkantRhkthWoRd.RilEtidtUhkOlpaRtnrcipp.
3,.AzmizkendhlinmistrlOsIit.swTAfrkhzsenSRhlghvrmhnt.izlykhbiggWhmbriGtAGk.
4,.Wyt.b?uRhkRAtsrinDhdRyvrzsIt!hndblAksRytlIfiRWhtDhtAGksWephnzkhndUtUdem.
5,.menIWhntthstoRmDhtAGkAndtEkitOz.
6,.bhtifDhHistrIhvhDrAfRrkhnnEShnzUzenIgyd_Wyts.indIhnzhndsmolblAk.tRybbSudfiRdhyIt.
7,.gREnzhndsYbIiGz!mOstkoRnhnkWItf?UcrzpRysizWrstRoGgr_.
8,.kWIkf?UcrzWrshpoRthdbykhnsrnDAtWIk.mEbIvalnrhbhl.ifkOldsmApsfalODispAstWIkenzWoRmT.Anhlhsed_.
9,.DhWoRmiGtRendmEHAdmeltidDhsnOkhvranshmkRaps.
10,.koRnf?UcrzRrsIvshmstReGkT.anikspektEShnAvDIAgRhkhlcrdipaRtmhntWudREdzsOvIhtimpoRtfoRkAsts_Andhlhst.
11,.AftrDhklOzhvtREdiG_DhfoRkAstsWrinkRIst.
12,.sYbIiGf?UcrzpRyshzWrmikst.WudbInzAndYlfiniShnkyr_.
13,.stRoGgrpamYlpRyshzHelptWYlpRysizfrm.Anhlhssed!.
14,.mistrkolinzlrnDhthnOhnskoRniGdiviZhnWhzRidUsiGitstAf_hndWudnIdwtsydHelpptUpRhdUshn?Uzdletr_.
15,.HImEdhsElzkOlHISRz.
16,.itWhzhntigivhWE~.
17,.yset.dwnhnfig?rtwtHWht.DEmItid!hndsOldhmanhkt.
