Id,Predicted
0,.dREvOlAstmhnThgRIdinpRinshphlthselitsinlhndWotrdtRAnsprtEShnstIvhdoRiGindpykfAbRikEShnbiznisizfrhnhndisklOzd.
1,.DhkhmbyndbiznisizhkwtidfrtUHhndrd.TrdIfyvmil?hndalrzhvdREvOzEtHhndrdnyntITRImil?hndalrzinnyntInEtIfyvpRevhn?U!.
2,.inseptembr.DhkhmphnIRIsIvnyntIsikspYntEt.mil?hndalrzezDhtSeRvdAmijizfrmhbRIchvkantRAkthWoRd.RilEtidtUhkOldpaRtrSip!.
3,.ezmizkendhlinmistrlOsIit.swTHAfrkhzsencRhlghvrmhnt.izlykhbiglhmbriGtAGk!.
4,.Wyt.b?uRRhkRAtsrinDhdRybrzsIt.hndblAksRytlIfiRWhtDhtAGksWephnzkhndUthdem.
5,.menIWhntthstoRmDhtAGkhndtEkitO.
6,.bhtifDhHistrIhvhDrAfrkhnnEShnzHizendingyd_Wyts.indIhnzhndsmolblAk.tRybSudfiRdh.
7,.gREnzhndsoYbIGz!mOstkoRninWIt.c?UcrzpRysizWrstRoGgr_.
8,.WIkf?UcrzWrshpoRthdbykhnsrnhtWIt!mEbIvalnrhbhl.ifkOldsnApsfalODispAstWIkhnzWoRnT.Anhlhssed_.
9,..DhWoRmiGtRendmEHAdmeltidDisnOkhvranshmkRas!.
10,.koRnf?UcrzRIsIvdshmstReGkT.anikspektEShnhvDIAgRikhlcrdipaRtmhntWudREzsOvIhtIimpoRtfoRkAsts_Anhlhsts.
11,.AftrDhklOzhvtREdiG!DhfoRkAstsWrIinkRIst.
12,.sYbIiGf?UcrzpRysizWrmikst.WudbIInzhnYlfiniShGHyr_.
13,.stRoGgrpamYlpRyshzHelptWYlpRyshzfrm!Anhlhstsed..
14,.mistrkolinzlrndhthnOinzkoRniGdiviZhnWhzRIdUsiGitstAf_hndWudnIdwtsyvHelp.tipRhdUshn?Uzletr_.
15,.HImEdrsElzkolHIsez.
16,.itWhzhntigivhlWE~.
17,..ysAt.dwnhnfig?rdwtWhtDImItid.hndsOldhmalnht.
18,.DhsenshvhnpendiGdUmHAzstymEntImoR_bhtsd.
19,.tUdEHIsez.DIAdhtUtiz.yvghtmycab.hnd?Uvght?uRdhd.
20,..edsjimhdiviZhnmAnijrfoRhRItElr.itsrdlhgIt.dolgWrl.
21,.mistrHOmzhkoRt.sedHIplAnztURif?UDhstRhkcrhvbelgRUph_.
22,.itmEbIDhtaRstRhktcrhnmhlthplishtIhvkoRprEShnzizhnphmOstifektivfrDhf?Ucr_.
23,.nOfRrmplAnHAzpendifyzd.bhtitizhndrkhnsidrEShntURif?UDhHOldstRhkcrHIsed.
24,.DhpIphlspaRtIkadtRImUvdintikIpphziShnzineRIhzhvphblikhdministREShn.inklUdiGHelT+ejhkEShn!lEbr_foRhnRIlEShnzhndAgRhkkt!.
25,.Dishlwtit.tUplEsmoRhvitskadREhnDhpAnhmEnIhnb?uRakRId!.
26,.n?UmrhskamRedzWrhpYntid.mOstrvTRUingRAcWeEtidfrm?UnhvrshtIzhn!khm?inhstblaknEShnz.
27,.AsWiTDhResthvDhRIZIIimHwevr_DeRydIAlhjIbikEmkhntAmhnEtid.byDhtrmhvkrhpShn!.
28,..innyntInEtIfyv_endsYlWhnniRlIUlevhnbil?hndalrzindAmijizAt.tRl_DhbighstjhjmhntevrhWoRdithplEnt.
29,.DhtUkhmphnIzhgRIdtisethlhkEsfrTRIbil?hndalrzinlEtdisembr_.
30,.penzYlHAzbenTRediGOvrDhdItElzAvmUviGDhmhniG!evrsi.
31,.shmitsHAvDeRphlitikhlbenhfitshvkoRs.natlIstDhtDhpRezhdentdamhnEntsDhn?UUz.
32,.bhtHAviGtoktUhvrryhtIhvrphblikhnzhbwtDishnRIshnbWIks_hmkhnvinstDhtmoRaRWrIdhbwt.DispeRhdakshvdiktan.Dhnphbliktlth!.
33,.DeRznOldwtWIpdiminiSDhsOvIhtTRetfeRIshbstAnShlIinDhlAst?iR.sesmenhsOthRepRizenthtr.DinWebr_.
34,..bhtDeRRolsElRislRhn!.
35,.tUstIphfol.khmInHyrinflEShn.hndivenShlIHyrintRistREts.
36,..DhlibRhlslostDhphlitikhldibEkanWeDrtifhndDhkantRh.piRIhd!.
37,..nwDeRdilytidtUHAvkantRhshpoRtrzdRAgTRUDhmoRAshvDhlIghlsisthm.piRIhd.
38,.DhbigginiGhvenIshlUShnizfooRanhldREghntUlukinDhmeR.AnditmitDhtDisWhzhmhstEt.piRIhd!.
39,..DhRESOzsignhlthfyvhvDhmaRkitsevhnkWoRtrlIdwntrnzinDhnyntInsevhntItiEtIsevhnpiRIhd.piRIhd.
40,.DIAvRijmaRkitdiklymfrDhsepshkWhntkoRtrinDOskEshz.Whzhbwtsevhnprsent.piRIhd!.
41,..HyrintRistREtskamh@hvhkoRskamh_kudbIofsetbyHyrinflEShn!piRIhd!.
42,.DAtsmoRRlesWht.DhplUcipmikanhmistsikspekt.piRIhd!.
43,..Dhn?UceRmhn.nOzshtHizpulitikhlkhmekShnzmEkshmmaRkitpRrtishhntshspiShsk+DhtIbhltRythsdim?hlEtTIikanhmEthHelp.jIpIkAnhditsnekst?iR.piRIhd.
44,..AzsynzhvhstRoGgrikanhmIhmrjkamh@HIAdzkamh.loGHyfhntrmREtsaRlyklItUdiftHyr_piRIhd!.
45,..AtDhsEmtymkamh.hgResivikspenShnhbRodHAzmEdDhmOstsWishvsWispAGks!hglObhlklEr!piRIhd!.
46,..y?UbIesshbsidIeRIhndn?U?oRk@WhzDhfrsttfoRhninstit?UShnthmAnijr?Uesdhmestik.koRpRht.bandiSU.piRIhd.
47,.inWestjrmhnIkamh.?UbIeshkWyrd!doRYSlendrbAGk!innyntInEtIfyfpiRIhd_.
48,.HizkRIdenShlshcestidDhtDhsOvIetsmytHaRbrmoRintRistindiplOmhsI.DhnRIlistEt.
49,.dhbhlkWOt.ifDhsOlvIitstisydticEnjDhnEchvDhmiShnkamh_DEnwHAvDhRytgytH?iR_kamh.dhbhlkWOt.sezDIizRElIhfiShl.piRIhd_.
50,.hn?UzRIlIsiSUd?estrdE.sedDhtDhlynhvkReditWudbIgeRintIdbyphRUvIhnsOlvr.piRIhd_.
51,.lAstWIkk.kamh.DhpRrRUvIenghvrmhntoRdrditolsOlvrpRhdUstbystEtHyfhnOnmynzmhstbIsOldthDhsencRhlbAGk.piRIhd!.
52,..pRyvhtsilvrikspoRtrzolsOHAvbinolfrdinsentrvztiselDrsOvrtUDhbAGk.piRIhd.
53,..mAlkamh.WhtevrDeRdRobAkshnRIllyf.kamh_WimpsinfikShnaRnatneshseRhlIbedTiGzpiRIhd.
54,..DEkhnbIHhleRIhslIhniGkamh.ezWelezHylIfektivtUlzfrsAtyR_piRIhd.
55,..DisizhspeShlItRUinDhWrkr.bRitiSnavhlhstskamh_AndIvinkamh@pRIvIhslEkamh.indDhWrkhvWil?hmbYd.piRIhd.
56,.mistrkAtshnbrgksedn?UzikhnphbliSiG!oReRIhsdisnIGWudfrDrikspoRWiTDhmhpits.piRIhd!.
57,..natDAtfAksmhSIInzrn?UpiRIhd!.
58,.DEfbenin?UzinDI?UessensDIrlInyntInsevhntIzpiRIhd.
59,.bhtTRpap?hleRhtIgRUslOlI.DikhztRAnzmiShnofhnhlhslhgiSkamh_pRintiGmesI_hndmhSIhnzkudhn.dhbhlkWOt.tok.dhbhlkWOt.tUIchDrifiShnlI.piRIhd!.
60,.biznisizWrolsOWeRIhvfAktspRajekts.AftrhHylIpwtidfedrhlikspResvencrthpRhvydfAksrvisflwndrd_hndWhzjetishndinnyntInEtIsevhn.piRIhd.
61,.DhfedrhlikspRessrviskamh_WichlwdbiznisizhndindhvijhWhlztUsenfAksitzfrmDhkhmphnIzstoRzkamh_kEmtUrlI!hndWhTtUikspensivkamh_AnhlhstsE.piRIhd!.
62,..mistrezIIzhfoRmriG?liSt?Itjr_izhdhpthdDhlibriGstREttakWhsdiplhmAtiksmylzDhtsofhnDhHaRSnhshvHizWeRrdz.
63,.mistrizIsUiz.yRAksliGktUDI?UeesizhspeShlIsenshthvhbhtDIhmeRikhndisepShnhvryRAn@.
64,..DhsisIEtidenz!nOnizeRkhh.ishjenRhlpaRtnrhDeRkOhHOtelpaRnrzhnHAzhWhnprsentjhnhlpaRtnrintRistinDhpaRtnrSip.
65,.AndeRkhlizspOkshmhnsedDhkhmphnIfoRmDhvencr_DikRIEthfynAnsiGbIikhlfrf?UcrHOtelpRajeks.
66,._klAftnOstHADolsObiGgOdthloRhnslIthnspIhm.
67,.HIsez.itkhnditkoRtEtisEDht?Uzikizhg?UnhvrshlbyWijbhDhRIIlIez.
68,..?UziSiizaRm?hziShnz.
69,._bhtthDhshpRyzhvolmhstevRIWhn.stakpRysizbigAnhstedIklymDhtpuStDIAvRijhbhvWinzdEzklOz.
70,.DismaRkitizWEtiGfrOnlIWhnTiGks@wfrdRof+hsIn?rvyspRezhdenthtamsinmIkhninzik?uRhtIzinkoRprEtid_.
71,.DhbigSUezgOiGtidRapanRIsIDhtREdnembr_.
72,._DhbAGkHOldiGkhmphnIzflEtidhnhDrfiftIbil?hndalrselfrnekstUzdE!.
73,..DhmaRkitendhmAgmifyDhm~iz.
74,.hstRonhRUsEDAtDIrfspEtizsIld.
