Id,Predicted
0,.tREvO@lAstmhnTrgRIdinpRinshphlthselitsAndlhndWotrtRAnsprtEShnstIvhdoRiGhnpyppAbrkEkShnbiznhsizfrhnhndisklOzd.
1,.DhkhmbyndbiznhsizrkwnidfortUHhndrdTrdIfyvmil?hndalrzhvdREvOz~EtHhndrdnytITRImll?hndalrzinnyntInEtIfyvpRephn?U~.
2,.insep.tembr.DhkhmphnIRIsIvnyntIsikspYntEt.mil?hndalrzezAtSeRhvdAmhjizfrmhbRIchvkantRAkthWoRd@RIlEtidtUhkHOldpoRtnrSip!.
3,.AzmizkhndOlhnmistrlOdsIht.swTAfrkhzsencRhlghvrnmhnt.izWykhvbigkWhmbriG.tAGk_.
4,.Wyt.buRhkRAtsrinDhdRyvrzsIt.hndblAksRytlIfiRWhtDhtAGksWephnzkhndUdthDwm.
5,.menIWonttistoRmDhtAGkkhndtEk?hdOlOiO.
6,.bhtifDhHistRIhvhDrAfrkhnnEShnzUzenIgyd_Wyts.indIenzhndsmolblAk.tRRbbSutfiRDAtt.
7,.gREnzhndsYbIGz!mOstkoRnhnWI.f?UcrzpRyshzWrstRoGgr@.
8,.WIkf?UcrzWrshpoRthdbykhnsrnDhtWIt.mEbIvolnrhbhl!ifkOldsnAcfalrDispAstWIkenzWoRmTAnhlhssed.
9,..DhWoRmiGtRAndmEHAdmeltUdDhsnOkhvronshmkRaps!.
10,.kWoRnf?UcrzRisIvshmstRiGT.anikspektEShnhvDIAgRhkhlcrdipaRtmhntWudRIzsOvIhtimpoRtfoRkAss_AnhWhss.
11,.AftrDhklOzhvtREdiG.DhfoRkAssWrIinkRIst!.
12,.sYbIiGfUcrzpRyshzWrmikst.WudbInshnYlfiniSinHyR@.
13,.stRoGgrpamYlpRyshdzHelptWYlpRysizfrm.Anhlhssed..
14,.mistrkalhnzWrnbhthnOhnzkoRniGphviZhnWhTRIdUsiGitsthf_hndWudnIdwtsydHelp.tUpRhdUshn?Uzletr_.
15,.HImEtrsElzkOlHIsOz!.
16,.itWhzhnthgivhlWE~.
17,..ysAk.dwnhnfig?rdwtWhtDEmIdid!hndsOldhmonhkt.
18,.DhsenshvinpendiGgUnHAvzstymintImmoRk_bhtS.
19,.tUdEdIsez.DIAthtUtiz.Hyvghtmydcab.hnd?Uvgat?URhtiI.
20,.AdsjemhdiviZhnmAnhnjrfoRhRItEvr.itsHhdolgIvdolgWrl.
21,.mistrHOmzhkoRt.sedIplAnztURIv?UDhstRhk.crhvbelgRUpi.
22,.itmEbIDhtaRstRhkcrhnmolthplishtIhvkoRprEShnzizhnDhmOstifektivfrDhf?Ucr_.
23,.nOfrmplAnHAzpendivyyzd.bhtitHizhndrkhnsidrEShntURiv?UDhHOldstRhkcrHIsed.
24,.DhpIphlspaRtIkadREmUvdintikIpphsiShnzineRIhzhvphblikidminhstREShninklUdiGHelT_ejhkEShn.lEbr_foRhnRhlEShnzhndAgRhkh!.
25,.Dhshlwtit.tUplEsmoRhvitskadREhnDhpAnhmEnIhnb?uRakRt.
26,.nUmrhskamRAdzWrhpYntid.mOstivHUUngRAcREtidfrm?UnhvrshtIshnkamhnhstblakmEkShnz.
27,.AzWiTDhResthvDhRUSImHwevr_DeRydIAlhjIbikEmkhntAmhnEtid.byDhtrmhvkrapShn!.
28,.innyntInEtIfyv_pAnzHYlWhnniRlI?Uvevhnbil?hndalrzhnddAmhjizAt.tRyl_DhbighsttRhjmhntevrhWoRdithplEnih!.
29,.DhtUkhmphnIzrgRIdtUsethllhkEsfrTRIbil?hndalrzinlytDisembr_.
30,.penzYlHAzbhnfRetiGDOvrDhdItElzhvmUviGDhmhni!evrsen.
31,.shmitsHAvDeRphlitikhlbenhfitshvkWoRs_natlIstDhtDhpRezhdentdamhnEtsDhn?Uz.
32,.bhtHAviGtoktUhvryEtIhviphblikhnzhbwtDisinRIShntWIks_ymkhnvensthtmoRoRWrIdhbwtDispeRhdakshvdittoG.Dhnphbliklilt.
33,.DeRznOdwtWIptUmeniStDhsOvIhtTRetiRIshbstAnchlIinDhlAst?iR_sOsmhnhvsOthReprzsAnhtrvDenWebr_.
34,..bhtDerrolsORiSkR!.
35,.tUstIphfHOl.khnmInHyrinflEShn.hndivenclIHyrintRistREts.
36,.DhlipRhnslostDhphlitikhldipEtonWeDrthfhnDhkantRhz.piRIhd!.
37,.nwDeRdiWytidtUHAvkantRhshpoRtrzdRAgTRUDhmorAshvphlIghlsisthm.piRIhd.
38,.DhbiginiGhvAnIshlUShnHAziphlRonhldREghntUlOkhnDhmiR_AnditmetDhtDisWhzhmDhstEt.piRIhd.
39,.DhREShvsignhlthfyvhvDhmaRkitsevhnkWoRtrlIbwntrnzinDhnyntInsevhntUthEtIsevhnpiRIhd.piRIhd.
40,.DIAvRijmaRkitdiklymfrDhsepshkWhntkWoRtrinDOzkEShz.Whzhbwtsevhnprsent.piRIhd!.
41,..HyrintRistREtskamh@hvkoRckamh_kudbIofsetbhHyrinplEShn!piRIhd!.
42,.bAtsmoRlesWht.DhplUtSipikkanhmissikspektpiRIhd!.
43,..bhn?UceRhmhn.nOsDhtHizphlitikhlkhmAkShnzmEkshmmaRkitprtishphnshspiShz_DhdIbhltRydhvstimhlEtDIikanhmithHelp.jIOpI.kAnhditsnekst?iR_piRIhd.
44,.AzsynzhvhstRoGgrIkanhmIimrjkamh@HIAdzkamh_WoGHyfhntrmREtsaRlyklItUdRistHyr_piRIhd!.
45,..AtDhsEmtymkamh.hgResivikspAnShnhbRwdAzmEdDhmOstsWishvsWisbAGks.hglObhlplEr_piRIhd!.
46,..y?UbIesshbsiDIeRIhndn?U?oRk@WhzDhfrstfoRhninstitUShnthmAnintr?Uesthmestik.koRprhtbanddiSU!piRIhd.
47,.inWesjrmhnEkamh.?UbIeshkWyrddYclendrbAGk!innyntInEtIfyyvpiRIhd.
48,.HizkRhdenchlsrgjesthdDhtDhsOvIetsmytHaRbrmoRintRistindhpamhsI.DhnRIhlistEt.
49,.dhbhlkWOt.ifDhsOvIitstisydticEnjDhnEcrhvDhmiShnkamh_DEnwHAvDhRytgyH?iR_kamh@dhbhlkWOt.sezDIizRElIhfiShl.piRIhd!.
50,..hn?UzRilIsiSrd?estrdE.sedDhtDhlynhvkReditWudbIgeRhntIdbyph@RUvIhnsOvr.piRIhd!.
51,.lAstWIk.kamh_DhphRUvIAnghvrnmhntoRdrdDhtOlzsilvrpRhdUstbystEkHyfhnOndmynz!mhstbIsOldthDhsencRhlbAGk.piRIhd.
52,.pRyvhtsivrikspoRtrzolsOHAvbhnolfrdinsendivzthselDrsOvrtUDhbAGk.piRIhd!.
53,..nwkamh.WhtevrDeRdRobAkshnRIllyf_kamh_WimpsinsikShnaRnnatneshseRhlIbAdpiGzpiRIhd!.
54,..DEkhnbIHhleRIhslIkfhniG.kamh.AzWelizHylIfektivtUlzfrswtyR_piRIhd.
55,.DisizhspeShlItRUinDhWrkhv.bRitiSnavhWhsts.kamh_AndIvhnkamh@pRIvIhslIkamh.AnDhWrkhvWil?hmbYd.piRIhd.
